Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2024-10-28,2024-10-30,2830,CHICK-FIL-A #03678,Dining,39.70,
2024-10-29,2024-10-30,6161,WEIS MARKETS INC 29,Merchandise,145.51,
2024-10-28,2024-10-29,6161,HEALTHY PAWS PET INSURAN,Insurance,91.32,
2024-10-28,2024-10-29,6161,WALGREENS #19129,Health Care,59.39,
2024-10-27,2024-10-28,6161,SANTONI'S MARKET,Merchandise,58.03,
2024-10-24,2024-10-26,2830,PARTY CITY 1090,Merchandise,5.61,
2024-10-25,2024-10-25,2830,TARGET.COM  *,Merchandise,32.34,
2024-10-24,2024-10-25,2830,WEIS MARKETS INC 29,Merchandise,6.00,
2024-10-24,2024-10-25,2830,SANTONI'S MARKET,Merchandise,10.98,
2024-10-24,2024-10-25,2830,TARGET.COM  *,Merchandise,12.72,
2024-10-23,2024-10-25,6161,THE WINE POST,Merchandise,16.34,
2024-10-23,2024-10-24,6161,APPLE.COM/BILL,Entertainment,7.99,
2024-10-22,2024-10-23,2830,WEGMANS OWINGS MILLS #125,Merchandise,348.15,
2024-10-21,2024-10-23,2830,ROYALFARMS #34,Gas/Automotive,43.47,
2024-10-22,2024-10-22,6161,CAPITAL ONE MOBILE PYMT,Payment/Credit,,3919.31
2024-10-21,2024-10-22,2830,SANTONI'S MARKET,Merchandise,22.10,
2024-10-21,2024-10-22,2830,TARGET        00010454,Merchandise,172.34,
2024-10-20,2024-10-22,6161,FARMERS MARKET,Merchandise,40.89,
2024-10-20,2024-10-22,6161,CRACKER BARREL #434 HAGER,Dining,101.59,
2024-10-18,2024-10-21,2830,DEEP CREEK LAKE ST PARK,Other Services,15.90,
2024-10-18,2024-10-21,6161,FUN ZONE,Entertainment,36.00,
2024-10-18,2024-10-21,6161,FUN ZONE,Entertainment,20.00,
2024-10-19,2024-10-21,6161,TST* DEEP CREEK FUNZONE,Dining,7.00,
2024-10-19,2024-10-21,6161,TST* DEEP CREEK FUNZONE,Dining,18.14,
2024-10-17,2024-10-19,2830,CHICK-FIL-A #03678,Dining,41.13,
2024-10-18,2024-10-19,2830,SHELL OIL 57525765202,Gas/Automotive,36.99,
2024-10-18,2024-10-19,6161,DEEP CREEK SHOP 'N,Merchandise,19.03,
2024-10-17,2024-10-19,6161,ROYAL FARMS #387,Gas/Automotive,5.29,
2024-10-17,2024-10-18,2830,WEIS MARKETS INC 29,Merchandise,38.94,
2024-10-16,2024-10-18,6161,DRIVEEZMD MPC,Gas/Automotive,3.39,
2024-10-16,2024-10-17,2830,WEGMANS OWINGS MILLS #125,Merchandise,258.58,
2024-10-16,2024-10-17,2830,TARGET.COM,Merchandise,21.19,
2024-10-16,2024-10-17,6161,IN *LEGACY SEPTIC & EXCAV,Professional Services,525.00,
2024-10-15,2024-10-16,2830,USPS PO 2376500336,Other Services,7.94,
2024-10-15,2024-10-16,2830,TARGET.COM  *,Merchandise,17.26,
2024-10-15,2024-10-16,2830,JOE CORBI,Merchandise,39.00,
2024-10-14,2024-10-16,2830,STARBUCKS STORE 58603,Dining,14.73,
2024-10-15,2024-10-16,2830,SUDBROOK MAGNET MIDDLE,Other Services,20.80,
2024-10-15,2024-10-16,2830,TARGET        00010454,Merchandise,108.05,
2024-10-14,2024-10-16,6161,TOP GOLF BALTIMORE 57-2,Entertainment,410.00,
2024-10-14,2024-10-15,6161,JIFFY MART SMO 1700,Gas/Automotive,36.57,
2024-10-13,2024-10-14,2830,"carters, Inc.",Merchandise,42.40,
2024-10-12,2024-10-14,6161,TACO BELL 032675,Dining,6.24,
2024-10-12,2024-10-14,6161,TOTAL WINE AND MORE,Merchandise,334.54,
