Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2024-07-29,2024-07-30,2830,WEGMANS OWINGS MILLS #125,Merchandise,426.21,
2024-07-29,2024-07-30,6161,APPLE.COM/BILL,Entertainment,5.99,
2024-07-28,2024-07-29,6161,HEALTHY PAWS PET INSURAN,Insurance,91.32,
2024-07-28,2024-07-29,6161,SANTONI'S MARKET,Merchandise,81.49,
2024-07-27,2024-07-29,6161,TST* ALFEOS ITALIAN KITCH,Dining,30.64,
2024-07-27,2024-07-29,6161,SQ *GLYNDON SWIM CLUB,Merchandise,10.00,
2024-07-25,2024-07-26,2830,DD/BR #340804 Q35,Dining,8.15,
2024-07-24,2024-07-25,2830,TARGET        00010454,Merchandise,117.94,
2024-07-24,2024-07-25,2830,TARGET        00010454,Merchandise,,19.51
2024-07-23,2024-07-24,2830,WEGMANS OWINGS MILLS #125,Merchandise,262.76,
2024-07-23,2024-07-24,6161,WWW.F1.COM,Entertainment,84.99,
2024-07-23,2024-07-24,6161,MATTRESS WAREHOUSE#036,Merchandise,233.19,
2024-07-22,2024-07-23,2830,CHIPOTLE 1993,Dining,42.61,
2024-07-22,2024-07-23,2830,IKEA 459929541,Merchandise,363.50,
2024-07-21,2024-07-22,2830,WEIS MARKETS INC 29,Merchandise,24.05,
2024-07-19,2024-07-22,2830,ROYALFARMS #34,Gas/Automotive,44.39,
2024-07-19,2024-07-20,2830,TARGET.COM  *,Merchandise,47.21,
2024-07-19,2024-07-20,6161,SANTONI'S MARKET,Merchandise,50.17,
2024-07-18,2024-07-19,2830,HOFFMANS ICE CREAM,Dining,53.20,
2024-07-18,2024-07-19,2830,THE TOT SPOT,Merchandise,28.49,
2024-07-18,2024-07-19,2830,TARGET        00010454,Merchandise,252.95,
2024-07-17,2024-07-19,2830,PANERA BREAD #203782 P,Dining,61.28,
2024-07-18,2024-07-19,6161,IN *ORGANIC LAWNS OF AMER,Other Services,152.00,
2024-07-17,2024-07-19,6161,KFTEAUSA_201,Dining,18.76,
2024-07-17,2024-07-18,2830,WEIS MARKETS INC 29,Merchandise,52.16,
2024-07-16,2024-07-18,6161,GLYNDON GRILL,Dining,75.11,
2024-07-16,2024-07-17,2830,WEGMANS OWINGS MILLS #125,Merchandise,354.30,
2024-07-16,2024-07-16,6161,CAPITAL ONE MOBILE PYMT,Payment/Credit,,3801.26
2024-07-15,2024-07-16,2830,DOCTORS SUPPLEMENT STORE,Health Care,55.21,
2024-07-16,2024-07-16,6161,E ZPASS DE CSC00100701,Gas/Automotive,25.00,
2024-07-15,2024-07-16,6161,SANTONI'S MARKET,Merchandise,13.47,
2024-07-14,2024-07-16,6161,PARTY CITY 1090,Merchandise,10.60,
2024-07-13,2024-07-15,2830,CHICK-FIL-A #03678,Dining,48.56,
2024-07-14,2024-07-15,6161,CVS/PHARMACY #04030,Health Care,23.49,
2024-07-14,2024-07-15,6161,LOWES #03388*,Merchandise,80.78,
2024-07-14,2024-07-15,6161,TARGET        00010454,Merchandise,18.02,
2024-07-13,2024-07-15,6161,ROYAL FARMS #127,Gas/Automotive,2.11,
2024-07-13,2024-07-15,6161,ROYAL FARMS #127,Gas/Automotive,2.96,
2024-07-13,2024-07-15,6161,ROYAL FARMS #115,Gas/Automotive,39.30,
2024-07-13,2024-07-15,6161,ROYAL FARMS #115,Gas/Automotive,15.03,
2024-07-13,2024-07-15,6161,ROYAL FARMS #115,Gas/Automotive,3.03,
2024-07-13,2024-07-15,2830,WEIS MARKETS INC 29,Merchandise,126.85,
