Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-12-30,2023-12-30,9999,SKINCAR,Merchandise,70.71,
2023-12-29,2023-12-30,9999,TARGET,Merchandise,119.95,
2023-12-29,2023-12-30,9999,TARGET,Merchandise,3.18,
2023-12-29,2023-12-30,9999,TARGET,Merchandise,34.96,
2023-12-28,2023-12-30,9999,ROYALFARMS,Gas/Automotive,37.41,
2023-12-28,2023-12-29,9999,APPLE.COM/BILL,Entertainment,2.99,
2023-12-27,2023-12-28,9999,PANERA BREAD #203782 P,Dining,34.17,
2023-12-28,2023-12-28,9999,SP EQUIP,Merchandise,43.99,
2023-12-27,2023-12-28,9999,WEGMANS OWINGS MILLS,Merchandise,318.35,
2023-12-24,2023-12-27,9999,TRACTOR-SUPPLY-CO,Gas/Automotive,10.59,
2023-12-26,2023-12-27,9999, WINE POST,Merchandise,83.62,

