Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-12-30,2023-12-30,2830,SP CLEARSTEM SKINCAR,Merchandise,70.71,
2023-12-29,2023-12-30,2830,TARGET        00010454,Merchandise,119.95,
2023-12-29,2023-12-30,2830,TARGET        00010454,Merchandise,3.18,
2023-12-29,2023-12-30,2830,TARGET        00010454,Merchandise,34.96,
2023-12-28,2023-12-30,6161,ROYALFARMS #34,Gas/Automotive,37.41,
2023-12-29,2023-12-30,6161,TST* KECCOS NEAPOLITAN W,Dining,115.26,
2023-12-28,2023-12-29,6161,HEALTHY PAWS PET INSURAN,Insurance,91.32,
2023-12-28,2023-12-29,6161,APPLE.COM/BILL,Entertainment,2.99,
2023-12-27,2023-12-28,2830,PANERA BREAD #203782 P,Dining,34.17,
2023-12-28,2023-12-28,2830,SP EQUIP,Merchandise,43.99,
2023-12-27,2023-12-28,2830,WEGMANS OWINGS MILLS #125,Merchandise,318.35,
2023-12-24,2023-12-27,6161,TRACTOR-SUPPLY-CO #0282,Gas/Automotive,10.59,
2023-12-26,2023-12-27,6161,THE WINE POST,Merchandise,83.62,
2023-12-26,2023-12-27,6161,SANTONI'S MARKET,Merchandise,47.07,
2023-12-26,2023-12-27,6161,SANTONI'S MARKET,Merchandise,13.95,
2023-12-24,2023-12-26,6161,TRACTOR SUPPLY CO #5509,Gas/Automotive,10.59,
2023-12-23,2023-12-26,6161,TRAVEL INSURED INTERNA,Insurance,250.00,
2023-12-24,2023-12-26,6161,WEIS MARKETS INC 29,Merchandise,20.71,
2023-12-21,2023-12-23,2830,GLYNDON GRILL,Dining,57.24,
2023-12-21,2023-12-22,2830,WALGREENS #19129,Health Care,0.83,
2023-12-21,2023-12-22,2830,SANTONI'S MARKET,Merchandise,21.14,
2023-12-21,2023-12-22,2830,SANTONI'S MARKET,Merchandise,11.29,
2023-12-20,2023-12-22,6161,DRIVEEZMD MPC,Gas/Automotive,12.00,
2023-12-21,2023-12-22,6161,USPS PO 2376500336,Other Services,3.00,
2023-12-21,2023-12-22,6161,WALGREENS #19129,Health Care,26.70,
