Description,Amount,Category,Transaction Date
SQ *THE SALON ON MAIN,60.00,Misc,2025-03-05
ROYALFARMS #34,36.62,Gas,2025-03-04
FRANKLIN HIGH SCHOOL T,22.00,Misc,2025-03-05
WEGMANS OWINGS MILLS #125,392.11,Groceries,2025-03-03
TARGET PLUS,38.47,Target,2025-03-03
TREERING,24.05,Misc,2025-03-02
MLT (SCHOOL),19.07,Misc,2025-03-02
TARGET.COM *,72.37,Target,2025-03-01
TARGET.COM *,19.92,Target,2025-03-01
TARGET PLUS,20.09,Target,2025-03-01
DD/BR #340804 Q35,27.49,Misc,2025-02-28
WAL-MART #2436,40.22,Misc,2025-02-28
HEALTHY PAWS PET INSURAN,98.17,Insurance,2025-02-28
WAL-MART #2436,47.64,Misc,2025-02-27
TARGET        00010454,-8.47,Target,2025-02-27
TARGET        00010454,166.34,Target,2025-02-27
EXXON VALLEY,40.07,Gas,2025-02-27
LOWES #03388*,41.34,Home_Supplies,2025-02-24
WEGMANS OWINGS MILLS #125,315.28,Groceries,2025-02-24
TST*THE ORIGINAL CHICKEN,15.41,Misc,2025-02-24
DD/BR #340804 Q35,8.99,Misc,2025-02-23
WEIS MARKETS INC 29,8.67,Groceries,2025-02-23
Mill Station Wine & Spiri,84.92,Misc,2025-02-21
SP BODYBIO INC.,38.99,Misc,2025-02-22
SANTONI'S MARKET,48.74,Groceries,2025-02-22
Valence Nutra,237.22,Misc,2025-02-21
DOCTORS SUPPLEMENT STORE,295.79,Misc,2025-02-21
REVIVE HW,310.00,Misc,2025-02-20
HOBBY-LOBBY #902,4.23,Misc,2025-02-19
PARTY CITY 1090,11.02,Misc,2025-02-19
DD/BR #340804 Q35,6.08,Misc,2025-02-19
WEIS MARKETS INC 29,43.71,Groceries,2025-02-19
ROYALFARMS #34,33.65,Gas,2025-02-18
SANTONI'S MARKET,10.67,Groceries,2025-02-19
TST*ALFEOS ITALIAN KITCH,34.88,Dining,2025-02-19
WEGMANS OWINGS MILLS #125,523.44,Groceries,2025-02-18
TST*IRON ROOSTER HUNT VA,133.82,Misc,2025-02-17
IN *ORGANIC LAWNS OF AMER,154.00,Home_Supplies,2025-02-17
WEIS MARKETS INC 29,44.65,Groceries,2025-02-16
LOWES #03388*,76.28,Home_Supplies,2025-02-15
SANTONI'S MARKET,26.51,Groceries,2025-02-14
PPL* TM BODI BEACHBODY,189.74,Misc,2025-02-13
SQ *REISTERSTOWN VFC,25.00,Misc,2025-02-13
HOBBY-LOBBY #902,39.05,Misc,2025-02-11
APPLE.COM/BILL,9.99,Subscription,2025-02-12
TARGET        00010454,65.10,Target,2025-02-11
GLBCLEANERS.COM,15.18,Misc,2025-02-11
PROPERTYREC.COM,20.00,Misc,2025-02-09
WEGMANS OWINGS MILLS #125,318.75,Groceries,2025-02-10
5GUYS 0509 ECOMM,69.66,Dining,2025-02-08
BLUE MOUNTAIN F&B,18.00,Misc,2025-02-07
TARGET.COM  *,33.47,Target,2025-02-08
TARGET.COM  *,4.24,Target,2025-02-08
7-ELEVEN 32287,44.63,Misc,2025-02-07
SHEETZ 0692   00006924,13.63,Misc,2025-02-07
SP OWALA,36.28,Misc,2025-02-07
LOWES #03388*,39.18,Home_Supplies,2025-02-07
WAWA 266,34.10,Gas,2025-02-07
TST*EVER GRAIN BREWING C,37.44,Misc,2025-02-06
Dicks Sporting Goods,44.99,Misc,2025-02-07
TARGET.COM  *,14.50,Target,2025-02-05
WWW.KOHLS.COM #0873,48.16,Misc,2025-02-05
TARGET.COM  *,31.07,Target,2025-02-05
TARGET.COM  *,13.77,Target,2025-02-05
TARGET.COM,42.38,Target,2025-02-04
WEGMANS OWINGS MILLS #125,451.74,Groceries,2025-02-04
WWW.KOHLS.COM #0873,9.02,Misc,2025-02-04
SIEBERT REALTY,2367.64,Misc,2025-02-04
WEIS MARKETS INC 29,7.79,Groceries,2025-02-03
QDOBA 2434,47.38,Dining,2025-02-01
SANTONI'S MARKET,29.40,Groceries,2025-02-01
CHICK-FIL-A #03678,43.84,Dining,2025-01-31
HOBBY-LOBBY #902,-31.25,Misc,2025-01-29
HOBBY-LOBBY #902,4.02,Misc,2025-01-29
TARGET        00010454,-41.08,Target,2025-01-30
TARGET        00010454,134.21,Target,2025-01-30
QDOBA 2434,22.79,Dining,2025-01-29
LHR T5 WDF MAIN,18.83,Misc,2025-01-30
HEALTHY PAWS PET INSURAN,98.17,Insurance,2025-01-28
OWINGS MILLS GROCER,30.91,Misc,2025-01-27
WEGMANS OWINGS MILLS #125,245.04,Groceries,2025-01-27
SANTONI'S MARKET,56.42,Groceries,2025-01-26
GENOVA'S TO GO,25.85,Misc,2025-01-25
Finksburg Jiffy Mart,33.30,Misc,2025-01-26
WEIS MARKETS INC 29,41.98,Groceries,2025-01-24
BLUE MOUNTAIN RESORT ECO,71.00,Misc,2025-01-23
WEGMANS OWINGS MILLS #125,-4.49,Groceries,2025-01-22
WEGMANS OWINGS MILLS #125,401.16,Groceries,2025-01-22
TARGET.COM  *,133.86,Target,2025-01-22
THE WINE POST,46.59,Groceries,2025-01-18
SANTONI'S MARKET,4.59,Groceries,2025-01-18
FSP*COPPERMINE SPORTSMAN',246.15,Misc,2025-01-18
DD/BR #340804 Q35,24.98,Misc,2025-01-18
WEIS MARKETS INC 29,30.56,Groceries,2025-01-17
ROYALFARMS #34,36.34,Gas,2025-01-16
SANTONI'S MARKET,10.74,Groceries,2025-01-16
TARGET        00010454,81.97,Target,2025-01-16
SP EQUIP,99.62,Misc,2025-01-16
WEGMANS OWINGS MILLS #125,349.09,Groceries,2025-01-14
IN *ORGANIC LAWNS OF AMER,49.95,Home_Supplies,2025-01-13
SP REMASTERED SLEEP,73.73,Misc,2025-01-13
CHICK-FIL-A #03678,61.38,Dining,2025-01-11
SONNY LEE'S HUNAN TASTE,50.88,Dining,2025-01-12
APPLE.COM/BILL,9.99,Subscription,2025-01-12
PROPERTYREC.COM,20.00,Misc,2025-01-09
BARON'S K-9 MARKET INC,32.84,Misc,2025-01-10
WEIS MARKETS INC 29,75.10,Groceries,2025-01-10
SANTONI'S MARKET,13.64,Groceries,2025-01-10
TARGET        00010454,168.79,Target,2025-01-09
SP THERIGHTONE,6.10,Misc,2025-01-07
SANTONI'S MARKET,54.54,Groceries,2025-01-05
LOWES #03388*,438.40,Home_Supplies,2025-01-05
PARTY CITY 1090,55.26,Misc,2025-01-03
CVS/PHARMACY #04030,35.23,Misc,2025-01-04
GIANT 0322,26.46,Misc,2025-01-04
SP FIRST DAY INC.,23.40,Misc,2025-01-04
WEGMANS OWINGS MILLS #125,356.13,Groceries,2025-01-03
PARTY CITY 1090,34.34,Misc,2025-01-02
CHIPOTLE 3541,45.53,Misc,2025-01-03
MVA ESERVICES,161.50,Misc,2024-12-31
HOFFMANS ICE CREAM,31.95,Dining,2025-01-02
TARGET.COM  *,18.01,Target,2025-01-02
TARGET        00010454,120.02,Target,2025-01-02
WEIS MARKETS INC 29,24.28,Groceries,2025-01-01
TST*HOME 231,172.82,Misc,2024-12-31
ROYALFARMS #34,29.32,Gas,2024-12-30
Horizon Church,-1020.00,Misc,2025-02-14
Zelle: Kevin Bobrow,-1000.00,Misc,2025-03-06
Zelle: Bilbrow Homes Llc,1000.00,Misc,2025-03-06
Northwestern Mutual,-76.38,Misc,2025-03-05
Interest Paid,0.02,Misc,2025-03-04
Transfer from Venmo,500.00,Misc,2025-03-04
RoundPoint Mortgage Servicing Corporation,-2234.33,Misc,2025-03-03
Mr. Cooper,-900.00,Misc,2025-03-03
Transfer to Venmo,-500.00,Misc,2025-03-03
Transfer to Venmo,-500.00,Misc,2025-03-03
Tithe.ly,-101.31,Misc,2025-03-03
Amazon Store Card,-93.10,Misc,2025-03-03
AAA Membership,-128.00,Misc,2025-03-03
Istari Federal Pay Tpup,6514.47,Misc,2025-02-28
PayPal Purchase,-6.79,Misc,2025-02-27
Check #995497,-1020.00,Misc,2025-02-20
Toyota,-626.76,Misc,2025-02-19
LPL Financial,-541.66,Insurance,2025-02-19
LPL Financial,-541.66,Insurance,2025-02-19
USAA Property and Casualty Insurance,-188.66,Misc,2025-02-19
Capital One,-5887.76,Misc,2025-02-18
AT&T,-176.93,Misc,2025-02-18
Mass Mutual,-70.05,Misc,2025-02-18
Verizon Paymentrec,-69.99,Misc,2025-02-18
Compassion International,-43.00,Misc,2025-02-18
Transfer to Venmo,-40.00,Misc,2025-02-14
USAA Transfer,-1200.00,Misc,2025-02-14
Istari Federal Pay J Od,6998.08,Misc,2025-02-14
Mobile Deposit,2368.00,Misc,2025-02-14
Transfer from Venmo,18.00,Misc,2025-02-14
Baltimore Gas & Electric,-525.01,Misc,2025-02-12
Transfer to Venmo,-75.00,Misc,2025-02-10
Netflix,-16.42,Misc,2025-02-10
Check #0555,-75.00,Misc,2025-02-07
PayPal Purchase,-73.49,Misc,2025-02-07
Northwestern Mutual,-76.38,Misc,2025-02-05
Interest Paid,0.06,Misc,2025-02-04
RoundPoint Mortgage Servicing Corporation,-2234.33,Misc,2025-02-03
Transfer to Venmo,-300.00,Misc,2025-02-03
Tithe.ly,-101.31,Misc,2025-02-03
USAA Transfer,-2000.00,Misc,2025-02-03
Istari Federal Pay,5869.68,Misc,2025-01-31
Amazon Store Card,-550.57,Misc,2025-01-29
Zelle Transfer to Wards Chapel Pre-school,-20.00,Misc,2025-01-29
Check #995494,-1020.00,Misc,2025-01-28
PayPal Purchase,-6.79,Misc,2025-01-28
Zelle Transfer to Wards Chapel Pre-school,-365.00,Misc,2025-01-28
Check #0554,-2000.00,Misc,2025-01-23
Apple Savings Transfer,1800.00,Misc,2025-01-23
Toyota,-626.76,Misc,2025-01-22
Istari Digital I Ezm,79.06,Misc,2025-01-22
Capital One,-2849.53,Misc,2025-01-21
USAA Property and Casualty Insurance,-196.90,Misc,2025-01-21
AT&T,-152.17,Misc,2025-01-21
Compassion International,-43.00,Misc,2025-01-21
USAA Transfer,-2000.00,Misc,2025-01-21
LPL Financial,-541.66,Insurance,2025-01-17
LPL Financial,-541.66,Insurance,2025-01-17
Mass Mutual,-70.05,Misc,2025-01-17
USAA Transfer,-5000.00,Misc,2025-01-17
Apple Savings Transfer,5779.00,Misc,2025-01-17
Srectrade Inc,51.97,Misc,2025-01-17
Check #0552,-2000.00,Misc,2025-01-16
Verizon,-69.99,Misc,2025-01-16
Istari Federal Pay G Ct,9645.34,Misc,2025-01-15
Baltimore Gas & Electric,-488.24,Misc,2025-01-14
Check #0551,-7500.00,Misc,2025-01-13
Compassion International,-30.00,Misc,2025-01-13
Netflix,-16.42,Misc,2025-01-08
Northwestern Mutual,-76.38,Misc,2025-01-07
Interest Paid,0.32,Misc,2025-01-03
Wire Fee,-20.00,Misc,2025-01-02
RoundPoint Mortgage Servicing Corporation,-2234.33,Misc,2025-01-02
USAA Transfer,-700.00,Misc,2025-01-02
